Price,Quantity,Type,Timestamp
37935000,0.0321,1,2022.5.22 0:41
37936000,0.171,1,2022.5.22 0:41
37941000,0.6,1,2022.5.22 0:41
37919000,0.1633,0,2022.5.22 0:41
37918000,3.9344,0,2022.5.22 0:41
37917000,0.0001,0,2022.5.22 0:41
37916000,0.0003,0,2022.5.22 0:41
37915000,0.0003,0,2022.5.22 0:41
37933000,0.0481,1,2022.5.22 0:41
37934000,0.4626,1,2022.5.22 0:41
37935000,0.0321,1,2022.5.22 0:41
37936000,0.171,1,2022.5.22 0:41
37942000,0.594,1,2022.5.22 0:41
37934000,0.102,0,2022.5.22 0:41
37922000,0.1642,0,2022.5.22 0:41
37921000,0.1136,0,2022.5.22 0:41
37919000,0.0579,0,2022.5.22 0:41
37918000,4.3706,0,2022.5.22 0:41
37942000,0.519,1,2022.5.22 0:41
37944000,0.0317,1,2022.5.22 0:41
37945000,0.0525,1,2022.5.22 0:41
37949000,0.6483,1,2022.5.22 0:41
37950000,0.1051,1,2022.5.22 0:41
37921000,0.1136,0,2022.5.22 0:41
37920000,0.1635,0,2022.5.22 0:41
37919000,0.0579,0,2022.5.22 0:41
37918000,4.3706,0,2022.5.22 0:41
37917000,0.0001,0,2022.5.22 0:41
37942000,0.519,1,2022.5.22 0:41
37944000,0.0317,1,2022.5.22 0:41
37945000,0.13,1,2022.5.22 0:41
37949000,0.0483,1,2022.5.22 0:41
37950000,0.1051,1,2022.5.22 0:41
37921000,0.0282,0,2022.5.22 0:41
37920000,0.1632,0,2022.5.22 0:41
37919000,0.0579,0,2022.5.22 0:41
37918000,4.3706,0,2022.5.22 0:41
37917000,0.0001,0,2022.5.22 0:41
37942000,0.519,1,2022.5.22 0:41
37944000,0.0317,1,2022.5.22 0:41
37945000,0.13,1,2022.5.22 0:41
37949000,0.0483,1,2022.5.22 0:41
37950000,0.1051,1,2022.5.22 0:41
37922000,0.1632,0,2022.5.22 0:41
37921000,0.0282,0,2022.5.22 0:41
37919000,0.0579,0,2022.5.22 0:41
37918000,4.3706,0,2022.5.22 0:41
37917000,0.0001,0,2022.5.22 0:41
37942000,0.519,1,2022.5.22 0:41
37944000,0.0317,1,2022.5.22 0:41
37945000,0.13,1,2022.5.22 0:41
37949000,0.272,1,2022.5.22 0:41
37950000,0.1051,1,2022.5.22 0:41
37921000,0.0282,0,2022.5.22 0:41
37919000,0.2215,0,2022.5.22 0:41
37918000,4.3706,0,2022.5.22 0:41
37917000,0.0001,0,2022.5.22 0:41
37916000,0.0003,0,2022.5.22 0:41
37942000,0.519,1,2022.5.22 0:41
37944000,0.0317,1,2022.5.22 0:41
